order_name,family_name,avibase_id,ebird_species_code,common_name,scientific_name,birds_of_the_world_url,current_body_mass_g,body_mass_g,note
Apodiformes,Trochilidae,AVIBASE-7D8643AF,stream3,Black-billed Streamertail,Trochilus scitulus,https://birdsoftheworld.org/bow/species/stream3/,,,
Apodiformes,Trochilidae,AVIBASE-10787A38,braeme2,Brace's Emerald,Riccordia bracei,https://birdsoftheworld.org/bow/species/braeme2/,,,
Apodiformes,Trochilidae,AVIBASE-B6547FA5,gnbhum2,Copper-tailed Hummingbird,Saucerottia cupreicauda,https://birdsoftheworld.org/bow/species/gnbhum2/,,,
Apodiformes,Trochilidae,AVIBASE-D58197D4,gobsta4,Golden-tailed Starfrontlet,Coeligena eos,https://birdsoftheworld.org/bow/species/gobsta4/,,,
Apodiformes,Trochilidae,AVIBASE-3DC76B80,colinc3,Gould's Inca,Coeligena inca,https://birdsoftheworld.org/bow/species/colinc3/,,,
Apodiformes,Trochilidae,AVIBASE-507994F5,colinc4,Green Inca,Coeligena conradii,https://birdsoftheworld.org/bow/species/colinc4/,,,
Apodiformes,Trochilidae,AVIBASE-7AA56690,amtsun2,Longuemare's Sunangel,Heliangelus clarisse,https://birdsoftheworld.org/bow/species/amtsun2/,,,
Apodiformes,Trochilidae,AVIBASE-DA50B42A,amtsun4,Merida Sunangel,Heliangelus spencei,https://birdsoftheworld.org/bow/species/amtsun4/,,,
Apodiformes,Trochilidae,AVIBASE-ED9636C0,gobsta2,Perija Starfrontlet,Coeligena consita,https://birdsoftheworld.org/bow/species/gobsta2/,,,
Apodiformes,Trochilidae,AVIBASE-A0A70C2E,boorat2,Peruvian Racket-tail,Ocreatus peruanus,https://birdsoftheworld.org/bow/species/boorat2/,,,
Apodiformes,Trochilidae,AVIBASE-3C70A96A,antman3,Puerto Rican Mango,Anthracothorax aurulentus,https://birdsoftheworld.org/bow/species/antman3/,,,
Apodiformes,Trochilidae,AVIBASE-8DF99F2B,rubrat1,Rufous-booted Racket-tail,Ocreatus addae,https://birdsoftheworld.org/bow/species/rubrat1/,,,
Apodiformes,Trochilidae,AVIBASE-74CFA678,brbhum3,Tres Marias Hummingbird,Cynanthus lawrencei,https://birdsoftheworld.org/bow/species/brbhum3/,,,
Bucerotiformes,Bucerotidae,AVIBASE-23FEF54E,bkdhor2,Eastern Dwarf Hornbill,Horizocerus granti,https://birdsoftheworld.org/bow/species/bkdhor2/,,,
Bucerotiformes,Bucerotidae,AVIBASE-EBFEDFB3,whchor4,Eastern Long-tailed Hornbill,Horizocerus cassini,https://birdsoftheworld.org/bow/species/whchor4/,,,
Bucerotiformes,Upupidae,AVIBASE-3EC85674,sthhoo1,St. Helena Hoopoe,Upupa antaios,https://birdsoftheworld.org/bow/species/sthhoo1/,,,
Bucerotiformes,Bucerotidae,AVIBASE-89218876,afphor2,West African Pied Hornbill,Lophoceros semifasciatus,https://birdsoftheworld.org/bow/species/afphor2/,,,
Caprimulgiformes,Caprimulgidae,AVIBASE-CD902871,kaynig1,Chirruping Nightjar,Caprimulgus griseatus,https://birdsoftheworld.org/bow/species/kaynig1/,,,
Caprimulgiformes,Caprimulgidae,AVIBASE-592DBE50,granig3,Hispaniolan Nightjar,Antrostomus ekmani,https://birdsoftheworld.org/bow/species/granig3/,,,
Caprimulgiformes,Caprimulgidae,AVIBASE-07EC934E,jampau,Jamaican Poorwill,Siphonorhis americana,https://birdsoftheworld.org/bow/species/jampau/,,,
Caprimulgiformes,Caprimulgidae,AVIBASE-B408927B,timnig1,Timor Nightjar,Caprimulgus ritae,https://birdsoftheworld.org/bow/species/timnig1/,,,
Coraciiformes,Meropidae,AVIBASE-0AAA530E,grnbee1,African Green Bee-eater,Merops viridissimus,https://birdsoftheworld.org/bow/species/grnbee1/,,,
Coraciiformes,Meropidae,AVIBASE-681DC913,grnbee2,Arabian Green Bee-eater,Merops cyanophrys,https://birdsoftheworld.org/bow/species/grnbee2/,,,
Coraciiformes,Meropidae,AVIBASE-D0C68FE0,bubbee2,Ethiopian Bee-eater,Merops lafresnayii,https://birdsoftheworld.org/bow/species/bubbee2/,,,
Coraciiformes,Alcedinidae,AVIBASE-9C5F80D9,bubkin1,Malaysian Blue-banded Kingfisher,Alcedo peninsulae,https://birdsoftheworld.org/bow/species/bubkin1/,,,
Coraciiformes,Alcedinidae,AVIBASE-0C0CF67B,suldwk1,Sangihe Dwarf Kingfisher,Ceyx sangirensis,https://birdsoftheworld.org/bow/species/suldwk1/,,,
Coraciiformes,Alcedinidae,AVIBASE-E9901CE9,lickin1,Sangihe Lilac Kingfisher,Cittura sanghirensis,https://birdsoftheworld.org/bow/species/lickin1/,,,
Coraciiformes,Alcedinidae,AVIBASE-C7C7C1AE,tuakin2,Tuamotu Kingfisher,Todiramphus gambieri,https://birdsoftheworld.org/bow/species/tuakin2/,,,
Passeriformes,Fringillidae,AVIBASE-9C8662BB,afrcha1,African Chaffinch,Fringilla spodiogenys,https://birdsoftheworld.org/bow/species/afrcha1/,,,
Passeriformes,Hirundinidae,AVIBASE-91315CD4,,African Red-rumped Swallow,Cecropis melanocrissus,https://birdsoftheworld.org/bow/species/rerswa12/,,,
Passeriformes,Acrocephalidae,AVIBASE-43B1D88C,agurew1,Aguiguan Reed Warbler,Acrocephalus nijoi,https://birdsoftheworld.org/bow/species/agurew1/,,,
Passeriformes,Furnariidae,AVIBASE-6CCCB10A,alfgle1,Alagoas Foliage-gleaner,Philydor novaesi,https://birdsoftheworld.org/bow/species/alfgle1/,,,
Passeriformes,Acrocephalidae,AVIBASE-63136DAC,albwar1,Aldabra Brush Warbler,Nesillas aldabrana,https://birdsoftheworld.org/bow/species/albwar1/,,,
Passeriformes,Turdidae,AVIBASE-09CC6AEA,amaui,Amaui,Myadestes woahensis,https://birdsoftheworld.org/bow/species/amaui/,,,
Passeriformes,Tyrannidae,AVIBASE-5423E1F8,gryela2,Amazonian Elaenia,Myiopagis cinerea,https://birdsoftheworld.org/bow/species/gryela2/,,,
Passeriformes,Furnariidae,AVIBASE-DEB6C2E6,plaxen3,Amazonian Plain Xenops,Xenops genibarbis,https://birdsoftheworld.org/bow/species/plaxen3/,,,
Passeriformes,Muscicapidae,AVIBASE-6BE53CFC,ammrot1,Amber Mountain Rock Thrush,Monticola erythronotus,https://birdsoftheworld.org/bow/species/ammrot1/,,,
Passeriformes,Parulidae,AVIBASE-B64C749B,yelwar1,American Yellow Warbler,Setophaga aestiva,,,,
Passeriformes,Tityridae,AVIBASE-73808E99,shlcot2,Andean Laniisoma,Laniisoma buckleyi,https://birdsoftheworld.org/bow/species/shlcot2/,,,
Passeriformes,Pycnonotidae,AVIBASE-C47F378C,whtgre4,Angola Greenbul,Phyllastrephus viridiceps,https://birdsoftheworld.org/bow/species/whtgre4/,,,
Passeriformes,Zosteropidae,AVIBASE-BA056A20,noywhe2,Angola White-eye,Zosterops kasaicus,https://birdsoftheworld.org/bow/species/noywhe2/,,,
Passeriformes,Nectariniidae,AVIBASE-36D2C0CD,shisun4,Arabian Sunbird,Cinnyris hellmayri,https://birdsoftheworld.org/bow/species/shisun4/,,,
Passeriformes,Furnariidae,AVIBASE-C264B15A,whlspi3,Araguaia Spinetail,Synallaxis simoni,https://birdsoftheworld.org/bow/species/whlspi3/,,,
Passeriformes,Onychorhynchidae,AVIBASE-D12A2E74,royfly5,Atlantic Royal Flycatcher,Onychorhynchus swainsoni,https://birdsoftheworld.org/bow/species/royfly5/,,,
Passeriformes,Muscicapidae,AVIBASE-3983013B,norwhe3,Atlas Wheatear,Oenanthe seebohmi,https://birdsoftheworld.org/bow/species/norwhe3/,,,
Passeriformes,Grallariidae,AVIBASE-4ECE7CED,tawant4,Atuen Antpitta,Grallaria atuensis,https://birdsoftheworld.org/bow/species/tawant4/,,,
Passeriformes,Motacillidae,AVIBASE-E353F8BD,auspip2,Australian Pipit,Anthus australis,https://birdsoftheworld.org/bow/species/auspip2/,,,
Passeriformes,Fringillidae,AVIBASE-D77B121C,comcha16,Azores Chaffinch,Fringilla moreletti,https://birdsoftheworld.org/bow/species/comcha16/,,,
Passeriformes,Pachycephalidae,AVIBASE-1F32AD36,yetwhi6,Babar Whistler,Pachycephala sharpei,https://birdsoftheworld.org/bow/species/yetwhi6/,,,
Passeriformes,Meliphagidae,AVIBASE-DA741383,sulmyz3,Bacan Myzomela,Myzomela batjanensis,https://birdsoftheworld.org/bow/species/sulmyz3/,,,
Passeriformes,Tyrannidae,AVIBASE-99C6BEEA,leswat2,Bahia Wagtail-Tyrant,Stigmatura bahiae,https://birdsoftheworld.org/bow/species/leswat2/,,,
Passeriformes,Campephagidae,AVIBASE-F86CDDED,comcic19,Banggai Cicadabird,Edolisoma pelingi,https://birdsoftheworld.org/bow/species/comcic19/,,,
Passeriformes,Pycnonotidae,AVIBASE-21FADED4,sulgob2,Banggai Golden Bulbul,Hypsipetes harterti,https://birdsoftheworld.org/bow/species/sulgob2/,,,
Passeriformes,Passerellidae,AVIBASE-52A41B18,bertow1,Bermuda Towhee,Pipilo naufragus,https://birdsoftheworld.org/bow/species/bertow1/,,,
Passeriformes,Pittidae,AVIBASE-9699DD8E,hoopit11,Biak Hooded Pitta,Pitta rosenbergii,https://birdsoftheworld.org/bow/species/hoopit11/,,,
Passeriformes,Meliphagidae,AVIBASE-5E3027B3,dusmyz2,Biak Myzomela,Myzomela rubrobrunnea,https://birdsoftheworld.org/bow/species/dusmyz2/,,,
Passeriformes,Campephagidae,AVIBASE-1EA7BE48,bkbtri2,Biak Triller,Lalage leucoptera,https://birdsoftheworld.org/bow/species/bkbtri2/,,,
Passeriformes,Timaliidae,AVIBASE-BACD6EA8,chwbab3,Bicolored Babbler,Cyanoderma bicolor,https://birdsoftheworld.org/bow/species/chwbab3/,,,
Passeriformes,Mohoidae,AVIBASE-708DC3B5,bisoo,Bishop's Oo,Moho bishopi,https://birdsoftheworld.org/bow/species/bisoo/,,,
Passeriformes,Campephagidae,AVIBASE-78D4B5A2,,Bismarck Cicadabird,Edolisoma remotum,https://birdsoftheworld.org/bow/species/comcic6/,,,
Passeriformes,Turdidae,AVIBASE-20ED5C7F,,Bismarck Island Thrush,Turdus heinrothi,https://birdsoftheworld.org/bow/species/bisist1/,,,
Passeriformes,Fringillidae,AVIBASE-97746C36,blkmam,Black Mamo,Drepanis funerea,https://birdsoftheworld.org/bow/species/blkmam/,,,
Passeriformes,Oriolidae,AVIBASE-3D1CC341,bacori1,Black-and-crimson Oriole,Oriolus consanguineus,https://birdsoftheworld.org/bow/species/bacori1/,,,
Passeriformes,Conopophagidae,AVIBASE-83F07C79,chbgna3,Black-breasted Gnateater,Conopophaga snethlageae,https://birdsoftheworld.org/bow/species/chbgna3/,,,
Passeriformes,Petroicidae,AVIBASE-0B0E50E0,ashrob2,Black-capped Robin,Heteromyias armiti,https://birdsoftheworld.org/bow/species/ashrob2/,,,
Passeriformes,Passerellidae,AVIBASE-FB4C2D40,yebbru1,Black-fronted Brushfinch,Atlapetes nigrifrons,,,,
Passeriformes,Thraupidae,AVIBASE-13B672C6,bkhtan2,Black-hooded Tanager,Stilpnia whitelyi,,,,
Passeriformes,Parulidae,AVIBASE-CF65BB25,masyel4,Black-lored Yellowthroat,Geothlypis auricularis,https://birdsoftheworld.org/bow/species/masyel4/,,,
Passeriformes,Tyrannidae,AVIBASE-DEB8EAC8,slbcht1,Blackish Chat-Tyrant,Ochthoeca nigrita,https://birdsoftheworld.org/bow/species/slbcht1/,,,
Passeriformes,Chloropseidae,AVIBASE-47CF4ED7,blwlea1,Blue-winged Leafbird,Chloropsis moluccensis,https://birdsoftheworld.org/bow/species/blwlea1/,,,
Passeriformes,Fringillidae,AVIBASE-0DD36226,bongro1,Bonin Grosbeak,Carpodacus ferreorostris,https://birdsoftheworld.org/bow/species/bongro1/,,,
Passeriformes,Turdidae,AVIBASE-A183D8C2,bonthr2,Bonin Thrush,Zoothera terrestris,https://birdsoftheworld.org/bow/species/bonthr2/,,,
Passeriformes,Corvidae,AVIBASE-93908467,blkmag2,Bornean Black Magpie,Platysmurus aterrimus,https://birdsoftheworld.org/bow/species/blkmag2/,,,
Passeriformes,Pellorneidae,AVIBASE-2510ED3A,bbcbab1,Bornean Black-capped Babbler,Pellorneum capistratoides,https://birdsoftheworld.org/bow/species/bbcbab1/,,,
Passeriformes,Muscicapidae,AVIBASE-B87B3B02,whcfor3,Bornean Forktail,Enicurus borneensis,https://birdsoftheworld.org/bow/species/whcfor3/,,,
Passeriformes,Muscicapidae,AVIBASE-1599A511,whbsho8,Bornean Shortwing,Brachypteryx erythrogyna,https://birdsoftheworld.org/bow/species/whbsho8/,,,
Passeriformes,Turdidae,AVIBASE-203DAC8F,islthr48,Bougainville Island Thrush,Turdus bougainvillei,https://birdsoftheworld.org/bow/species/islthr48/,,,
Passeriformes,Zosteropidae,AVIBASE-15A2A9E8,gytwhe2,Bougainville White-eye,Zosterops hamlini,https://birdsoftheworld.org/bow/species/gytwhe2/,,,
Passeriformes,Grallariidae,AVIBASE-0416064D,tawant2,Boyaca Antpitta,Grallaria alticola,https://birdsoftheworld.org/bow/species/tawant2/,,,
Passeriformes,Icteridae,AVIBASE-C21B323A,brocow2,Bronze-brown Cowbird,Molothrus armenti,,,,
Passeriformes,Timaliidae,AVIBASE-65875E25,bncscb1,Brown-crowned Scimitar Babbler,Pomatorhinus phayrei,https://birdsoftheworld.org/bow/species/bncscb1/,,,
Passeriformes,Paradoxornithidae,AVIBASE-5D7C768F,bnwpar2,Brown-winged Parrotbill,Suthora brunnea,https://birdsoftheworld.org/bow/species/bnwpar2/,,,
Passeriformes,Acanthisittidae,AVIBASE-9232F027,buswre1,Bushwren,Xenicus longipes,https://birdsoftheworld.org/bow/species/buswre1/,,,
Passeriformes,Zosteropidae,AVIBASE-9E174B20,bkcbab3,Calabarzon Babbler,Sterrhoptilus affinis,https://birdsoftheworld.org/bow/species/bkcbab3/,,,
Passeriformes,Dicaeidae,AVIBASE-8C11AB08,fibflo3,Cambodian Flowerpecker,Dicaeum cambodianum,https://birdsoftheworld.org/bow/species/fibflo3/,,,
Passeriformes,Pycnonotidae,AVIBASE-24F99A8F,yelbul4,Camiguin Bulbul,Hypsipetes catarmanensis,https://birdsoftheworld.org/bow/species/yelbul4/,,,
Passeriformes,Fringillidae,AVIBASE-1E2D705D,caicha1,Canary Islands Chaffinch,Fringilla canariensis,https://birdsoftheworld.org/bow/species/caicha1/,,,
Passeriformes,Furnariidae,AVIBASE-F335951B,palhor5,Caribbean Hornero,Furnarius longirostris,https://birdsoftheworld.org/bow/species/palhor5/,,,
Passeriformes,Thraupidae,AVIBASE-96D6BCC9,bubmot4,Carriker's Mountain Tanager,Dubusia carrikeri,,,,
Passeriformes,Campephagidae,AVIBASE-F7EBE5E3,,Central Melanesian Cicadabird,Edolisoma erythropygium,https://birdsoftheworld.org/bow/species/cemcic1/,,,
Passeriformes,Meliphagidae,AVIBASE-9AA8B692,chibel1,Chatham Islands Bellbird,Anthornis melanocephala,https://birdsoftheworld.org/bow/species/chibel1/,,,
Passeriformes,Locustellidae,AVIBASE-A0CF86E4,chifer1,Chatham Islands Fernbird,Poodytes rufescens,https://birdsoftheworld.org/bow/species/chifer1/,,,
Passeriformes,Ploceidae,AVIBASE-3F347626,viewea2,Chestnut-and-black Weaver,Ploceus castaneofuscus,https://birdsoftheworld.org/bow/species/viewea2/,,,
Passeriformes,Icteridae,AVIBASE-F707BD5F,lilmea2,Chihuahuan Meadowlark,Sturnella lilianae,https://birdsoftheworld.org/bow/species/lilmea2/,,,
Passeriformes,Muscicapidae,AVIBASE-ACBC2BB0,vivnil2,Chinese Vivid Niltava,Niltava oatesi,https://birdsoftheworld.org/bow/species/vivnil2/,,,
Passeriformes,Passerellidae,AVIBASE-14D41E23,tribrf1,Choco Brushfinch,Atlapetes crassus,https://birdsoftheworld.org/bow/species/tribrf1/,,,
Passeriformes,Tyrannidae,AVIBASE-9D2A5860,gryela1,Choco Elaenia,Myiopagis parambae,https://birdsoftheworld.org/bow/species/gryela1/,,,
Passeriformes,Pipridae,AVIBASE-DFF33128,grnman1,Choco Manakin,Cryptopipo litae,https://birdsoftheworld.org/bow/species/grnman1/,,,
Passeriformes,Parulidae,AVIBASE-3A4B5A93,gobwar4,Choco Warbler,Myiothlypis chlorophrys,https://birdsoftheworld.org/bow/species/gobwar4/,,,
Passeriformes,Turdidae,AVIBASE-ED63FBAB,islthr9,Christmas Island Thrush,Turdus erythropleurus,https://birdsoftheworld.org/bow/species/islthr9/,,,
Passeriformes,Vangidae,AVIBASE-AF4CF9F8,bluvan2,Comoro Blue Vanga,Cyanolanius comorensis,https://birdsoftheworld.org/bow/species/bluvan2/,,,
Passeriformes,Troglodytidae,AVIBASE-5506AF3C,houwre3,Cozumel Wren,Troglodytes beani,https://birdsoftheworld.org/bow/species/houwre3/,,,
Passeriformes,Muscicapidae,AVIBASE-739B1664,chtjuf4,Crocker Jungle Flycatcher,Cyornis ruficrissa,https://birdsoftheworld.org/bow/species/chtjuf4/,,,
Passeriformes,Tyrannidae,AVIBASE-E6401100,crocht2,Crowned Chat-Tyrant,Silvicultrix frontalis,,,,
Passeriformes,Tityridae,AVIBASE-7CF1D272,bawbec6,Cryptic Becard,Pachyramphus salvini,https://birdsoftheworld.org/bow/species/bawbec6/,,,
Passeriformes,Furnariidae,AVIBASE-EE612071,crytre1,Cryptic Treehunter,Cichlocolaptes mazarbarnetti,https://birdsoftheworld.org/bow/species/crytre1/,,,
Passeriformes,Corvidae,AVIBASE-E791045B,cupcro1,Cuban Palm Crow,Corvus minutus,https://birdsoftheworld.org/bow/species/cupcro1/,,,
Passeriformes,Turdidae,AVIBASE-E31352FA,whtthr2,Dagua Thrush,Turdus daguae,,,,
Passeriformes,Furnariidae,AVIBASE-2E0A1312,crbcan4,Dark-winged Canastero,Asthenes arequipae,,,,
Passeriformes,Pittidae,AVIBASE-0905824C,eahpit1,Eastern Hooded Pitta,Pitta novaeguineae,https://birdsoftheworld.org/bow/species/eahpit1/,,,
Passeriformes,Paradisaeidae,AVIBASE-EDEAF400,lawpar2,Eastern Parotia,Parotia helenae,https://birdsoftheworld.org/bow/species/lawpar2/,,,
Passeriformes,Turdidae,AVIBASE-6B75CDBA,relthr3,Eastern Red-legged Thrush,Turdus ardosiaceus,,,,
Passeriformes,Cardinalidae,AVIBASE-9551017F,blusee4,Ecuadorian Seedeater,Amaurospiza aequatorialis,https://birdsoftheworld.org/bow/species/blusee4/,,,
Passeriformes,Monarchidae,AVIBASE-4E66CF41,eiamon1,Eiao Monarch,Pomarea fluxa,https://birdsoftheworld.org/bow/species/eiamon1/,,,
Passeriformes,Turdidae,AVIBASE-E8E2ED6D,grothr2,Ethiopian Thrush,Turdus simensis,https://birdsoftheworld.org/bow/species/grothr2/,,,
Passeriformes,Hirundinidae,AVIBASE-B4967714,rerswa8,European Red-rumped Swallow,Cecropis rufula,https://birdsoftheworld.org/bow/species/rerswa8/,,,
Passeriformes,Paradoxornithidae,AVIBASE-549E06B6,bnwpar1,Eye-ringed Parrotbill,Suthora ricketti,https://birdsoftheworld.org/bow/species/bnwpar1/,,,
Passeriformes,Furnariidae,AVIBASE-82B02D55,butfog9,Fawn-throated Foliage-gleaner,Automolus cervinigularis,https://birdsoftheworld.org/bow/species/butfog9/,,,
Passeriformes,Turdidae,AVIBASE-14BDF7A6,,Fiji Island Thrush,Turdus ruficeps,https://birdsoftheworld.org/bow/species/fijist1/,,,
Passeriformes,Rhipiduridae,AVIBASE-B4E4EA8D,fisfan1,Fiji Streaked Fantail,Rhipidura layardi,https://birdsoftheworld.org/bow/species/fisfan1/,,,
Passeriformes,Dicaeidae,AVIBASE-6C9DF46C,fibflo4,Fire-throated Flowerpecker,Dicaeum luzoniense,https://birdsoftheworld.org/bow/species/fibflo4/,,,
Passeriformes,Dicaeidae,AVIBASE-0C55C543,flcflo3,Flame-crowned Flowerpecker,Dicaeum kampalili,https://birdsoftheworld.org/bow/species/flcflo3/,,,
Passeriformes,Dicaeidae,AVIBASE-3C3C5EE8,blbflo6,Flores Flowerpecker,Dicaeum rhodopygiale,https://birdsoftheworld.org/bow/species/blbflo6/,,,
Passeriformes,Muscicapidae,AVIBASE-B69E7CB5,flojuf2,Flores Jungle Flycatcher,Eumyias oscillans,https://birdsoftheworld.org/bow/species/flojuf2/,,,
Passeriformes,Nectariniidae,AVIBASE-10FCE777,olbsun8,Flores Sea Sunbird,Cinnyris teysmanni,https://birdsoftheworld.org/bow/species/olbsun8/,,,
Passeriformes,Muscicapidae,AVIBASE-3353BA88,whbsho11,Flores Shortwing,Brachypteryx floris,https://birdsoftheworld.org/bow/species/whbsho11/,,,
Passeriformes,Acrocephalidae,AVIBASE-05C1A470,soirew1,Garrett's Reed Warbler,Acrocephalus musae,https://birdsoftheworld.org/bow/species/soirew1/,,,
Passeriformes,Campephagidae,AVIBASE-F278C879,comcic4,Geelvink Cicadabird,Edolisoma meyerii,https://birdsoftheworld.org/bow/species/comcic4/,,,
Passeriformes,Rhipiduridae,AVIBASE-E7A27B20,ruffan3,Gilolo Fantail,Rhipidura torrida,https://birdsoftheworld.org/bow/species/ruffan3/,,,
Passeriformes,Nectariniidae,AVIBASE-375BAF53,beasun3,Gorgeous Sunbird,Cinnyris melanogastrus,https://birdsoftheworld.org/bow/species/beasun3/,,,
Passeriformes,Thraupidae,AVIBASE-ABF0B698,cubbul3,Grand Cayman Bullfinch,Melopyrrha taylori,https://birdsoftheworld.org/bow/species/cubbul3/,,,
Passeriformes,Turdidae,AVIBASE-25D8B98B,grcthr1,Grand Cayman Thrush,Turdus ravidus,https://birdsoftheworld.org/bow/species/grcthr1/,,,
Passeriformes,Fringillidae,AVIBASE-8FE1196F,greama,Greater Amakihi,Viridonia sagittirostris,https://birdsoftheworld.org/bow/species/greama/,,,
Passeriformes,Fringillidae,AVIBASE-58F9A637,grkfin,Greater Koa Finch,Rhodacanthis palmeri,https://birdsoftheworld.org/bow/species/grkfin/,,,
Passeriformes,Paradisaeidae,AVIBASE-0B08DF8F,,Greater Lophorina,Lophorina latipennis,https://birdsoftheworld.org/bow/species/grsbop1/,,,
Passeriformes,Troglodytidae,AVIBASE-80159DD8,houwre11,Grenada Wren,Troglodytes grenadensis,https://birdsoftheworld.org/bow/species/houwre11/,,,
Passeriformes,Troglodytidae,AVIBASE-92A6502D,pltwre3,Grey-browed Wren,Pheugopedius schulenbergi,https://birdsoftheworld.org/bow/species/pltwre3/,,,
Passeriformes,Nectariniidae,AVIBASE-35A2CCDF,grnsun2,Grey-chinned Sunbird,Anthreptes tephrolaemus,https://birdsoftheworld.org/bow/species/grnsun2/,,,
Passeriformes,Fringillidae,AVIBASE-9BDBCD7F,eurgol2,Grey-crowned Goldfinch,Carduelis caniceps,https://birdsoftheworld.org/bow/species/eurgol2/,,,
Passeriformes,Passerellidae,AVIBASE-A93FF062,whegrs1,Grey-crowned Ground Sparrow,Melozone occipitalis,,,,
Passeriformes,Eurylaimidae,AVIBASE-098E40F1,sibbro2,Grey-lored Broadbill,Serilophus rubropygius,https://birdsoftheworld.org/bow/species/sibbro2/,,,
